,Date,course,grade
0,2019-09-12,FA,3.0
1,2019-09-17,FA,3.0
2,2019-09-18,FA,2.75
3,2019-09-26,FA,2.9
4,2019-10-01,FA,2.6
5,2019-10-03,FA,2.61
6,2019-10-08,FA,2.96
7,2019-10-10,FA,3.17
8,2019-10-17,FA,3.63
9,2019-10-22,FA,3.42
10,2019-10-23,FA,3.38
11,2019-10-29,FA,3.36
12,2019-10-31,FA,3.47
13,2019-11-05,FA,3.43
14,2019-11-07,FA,3.43
15,2019-11-12,FA,3.43
16,2019-11-14,FA,3.43
17,2019-11-19,FA,3.39
18,2019-11-22,FA,3.0
19,2019-11-26,FA,3.0
20,2019-12-03,FA,3.04
21,2019-12-05,FA,3.03
22,2019-12-12,FA,3.02
23,2019-12-13,FA,3.04
24,2019-12-18,FA,3.05
25,2019-12-19,FA,3.04
26,2020-01-03,FA,3.04
27,2020-01-06,FA,3.06
28,2020-01-18,FA,3.14
29,2020-01-24,FA,3.14
30,2020-01-25,FA,3.14
31,2020-01-29,FA,3.14
32,2020-02-01,FA,3.13
33,2020-02-05,FA,3.13
34,2020-02-07,FA,3.19
35,2020-02-14,FA,3.16
36,2020-02-16,FA,3.16
37,2020-02-19,FA,3.15
38,2020-02-22,FA,3.16
39,2020-03-08,FA,3.21
40,2020-03-11,FA,3.21
41,2020-03-13,FA,3.21
42,2020-03-14,FA,3.15
43,2020-03-17,FA,3.15
44,2020-03-22,FA,3.14
45,2020-03-24,FA,3.17
46,2020-04-01,FA,3.17
47,2020-04-04,FA,3.16
48,2020-04-05,FA,3.17
49,2020-04-11,FA,3.22
50,2020-04-20,FA,3.22
51,2020-04-27,FA,3.23
52,2020-04-30,FA,3.26
53,2020-05-01,FA,3.34
54,2020-05-04,FA,3.28
55,2020-05-11,FA,3.29
56,2020-09-21,FA,3.29
57,2020-10-02,FA,3.29
58,2020-10-03,FA,3.3
59,2020-10-09,FA,3.3
60,2020-10-11,FA,3.3
61,2020-10-12,FA,3.29
62,2020-10-24,FA,3.3
63,2020-10-31,FA,3.3
64,2020-11-01,FA,3.3
65,2020-11-16,FA,3.3
66,2020-11-19,FA,3.3
67,2020-11-25,FA,3.3
68,2020-11-30,FA,3.31
69,2020-12-21,FA,3.31
70,2020-12-28,FA,3.31
71,2020-12-30,FA,3.31
72,2019-09-12,FA Transfer,2.43
73,2019-09-17,FA Transfer,2.43
74,2019-09-18,FA Transfer,2.43
75,2019-09-26,FA Transfer,2.43
76,2019-10-01,FA Transfer,2.43
77,2019-10-03,FA Transfer,2.43
78,2019-10-08,FA Transfer,2.43
79,2019-10-10,FA Transfer,2.43
80,2019-10-17,FA Transfer,2.43
81,2019-10-22,FA Transfer,2.43
82,2019-10-23,FA Transfer,2.43
83,2019-10-29,FA Transfer,2.43
84,2019-10-31,FA Transfer,2.43
85,2019-11-05,FA Transfer,2.43
86,2019-11-07,FA Transfer,2.43
87,2019-11-12,FA Transfer,2.43
88,2019-11-14,FA Transfer,2.43
89,2019-11-19,FA Transfer,2.43
90,2019-11-22,FA Transfer,2.43
91,2019-11-26,FA Transfer,2.54
92,2019-12-03,FA Transfer,2.54
93,2019-12-05,FA Transfer,2.54
94,2019-12-12,FA Transfer,2.54
95,2019-12-13,FA Transfer,2.54
96,2019-12-18,FA Transfer,2.54
97,2019-12-19,FA Transfer,2.54
98,2020-01-03,FA Transfer,2.65
99,2020-01-06,FA Transfer,2.65
100,2020-01-18,FA Transfer,2.89
101,2020-01-24,FA Transfer,2.89
102,2020-01-25,FA Transfer,2.89
103,2020-01-29,FA Transfer,2.89
104,2020-02-01,FA Transfer,2.89
105,2020-02-05,FA Transfer,2.89
106,2020-02-07,FA Transfer,2.89
107,2020-02-14,FA Transfer,2.89
108,2020-02-16,FA Transfer,2.89
109,2020-02-19,FA Transfer,2.89
110,2020-02-22,FA Transfer,2.89
111,2020-03-08,FA Transfer,2.89
112,2020-03-11,FA Transfer,2.89
113,2020-03-13,FA Transfer,2.89
114,2020-03-14,FA Transfer,2.89
115,2020-03-17,FA Transfer,2.89
116,2020-03-22,FA Transfer,2.89
117,2020-03-24,FA Transfer,2.89
118,2020-04-01,FA Transfer,2.89
119,2020-04-04,FA Transfer,2.89
120,2020-04-05,FA Transfer,2.89
121,2020-04-11,FA Transfer,2.89
122,2020-04-20,FA Transfer,2.89
123,2020-04-27,FA Transfer,2.89
124,2020-04-30,FA Transfer,2.89
125,2020-05-01,FA Transfer,2.89
126,2020-05-04,FA Transfer,3.12
127,2020-05-11,FA Transfer,3.12
128,2020-09-21,FA Transfer,3.24
129,2020-10-02,FA Transfer,3.24
130,2020-10-03,FA Transfer,3.24
131,2020-10-09,FA Transfer,3.24
132,2020-10-11,FA Transfer,3.25
133,2020-10-12,FA Transfer,3.25
134,2020-10-24,FA Transfer,3.25
135,2020-10-31,FA Transfer,3.25
136,2020-11-01,FA Transfer,3.25
137,2020-11-16,FA Transfer,3.25
138,2020-11-19,FA Transfer,3.25
139,2020-11-25,FA Transfer,3.25
140,2020-11-30,FA Transfer,3.25
141,2020-12-21,FA Transfer,3.25
142,2020-12-28,FA Transfer,3.26
143,2020-12-30,FA Transfer,3.26
